"INSEECOM";"LIBAU2010";"Statut";"CATAEU2010";"date1";"date2";"evolution";"type_commune_dans_au";"evolution_type_espace";"pres_abs_police"
"17385";"Saint-Pierre-d'Oléron";"Commune simple";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"17415";"Saintes";"Sous-pr<e9>fecture";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"oui"
"17434";"Surgères";"Commune simple";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"17452";"La Tremblade";"Commune simple";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"18003";"Bourges";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"18015";"Aubigny-sur-Nère";"Commune simple";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"18033";"Bourges";"Pr<e9>fecture";"111";"2009";"NA";"disparition";"pôle urbain";"disparition pôle urbain";"oui"
"18052";"Saint-Amand-Montrond";"Commune simple";"212";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"18058";"Bourges";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"18118";"Nevers";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"18126";"Bourges";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"18197";"Saint-Amand-Montrond";"Sous-pr<e9>fecture";"211";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"18207";"Bourges";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"18223";"Bourges";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"18241";"Sancerre";"Commune simple";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"18279";"Vierzon";"Sous-pr<e9>fecture";"111";"2009";"NA";"disparition";"pôle urbain";"disparition pôle urbain";"oui"
"19005";"Brive-la-Gaillarde";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"19010";"Argentat";"Commune simple";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"19028";"Bort-les-Orgues";"Commune simple";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"19031";"Brive-la-Gaillarde";"Sous-pr<e9>fecture";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"oui"
"19072";"Brive-la-Gaillarde";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"19073";"Égletons";"Commune simple";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"19107";"Brive-la-Gaillarde";"Commune simple";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"19272";"Tulle";"Pr<e9>fecture";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"oui"
"19275";"Ussel";"Sous-pr<e9>fecture";"211";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"oui"
"19276";"Uzerche";"Commune simple";"221";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"non"
"21021";"Dijon";"Commune simple";"112";"2009";"2018";"maintien";"couronne";"maintien couronne";"non"
"21054";"Beaune";"Sous-pr<e9>fecture";"111";"2009";"2018";"maintien";"pôle urbain";"maintien pôle urbain";"oui"
