"AU2010","pop2016","pop2013","pop2009","pop2006","pop1999","pop1990","pop1982","pop1975","pop1968","LIBAU2010","tailles_2016","pop_2013_2016","pop_2009_2013","pop_2006_2009","pop_1999_2006"
"758",2984,2807,2688,2674,2590,2482,2621,2852,3180,"Kayl (LUX) - Ottange (partie française)","petite
(< 30.000 hab.)",2.05919427413213,1.08885723473977,0.174216380080416,0.457006862306697
"759",5006,5041,4983,5023,5093,5258,5129,5154,5369,"Saint-James","petite
(< 30.000 hab.)",-0.231973261572982,0.2897277970906,-0.266153364508004,-0.197514442062452
"760",2690,2726,2671,2669,2602,2590,2665,2584,2505,"Toucy","petite
(< 30.000 hab.)",-0.442157581022251,0.510860443466643,0.024971907643101,0.363853062983766
"761",3330,2444,2600,2653,2513,2495,2837,2835,2663,"Vertus","petite
(< 30.000 hab.)",10.8615664138035,-1.53498227881814,-0.670397082326968,0.777489972092527
"762",2526,2549,2628,2639,2452,2322,2256,2285,2509,"Lièpvre","petite
(< 30.000 hab.)",-0.301680741885157,-0.76014554950542,-0.139135013991298,1.05547466798062
"763",2606,2716,2652,2617,2334,2079,2492,2350,2132,"Avord","petite
(< 30.000 hab.)",-1.36867170557656,0.597933965380992,0.443830314658822,1.64836796542467
"764",2504,2471,2533,2582,2419,2338,2548,2611,2283,"Josselin","petite
(< 30.000 hab.)",0.443196765716358,-0.617620932521634,-0.636628922846794,0.935924937315002
"765",3716,3820,3865,3867,3776,3760,3421,3012,2705,"Val-au-Perche","petite
(< 30.000 hab.)",-0.915866876345273,-0.292353298517245,-0.017242866106093,0.3407759589652
"766",2388,2398,2578,2523,2426,2499,2465,2534,2460,"Fruges","petite
(< 30.000 hab.)",-0.139198398196794,-1.79319856506789,0.721431026969066,0.561640737125058
"767",2433,2446,2449,2514,2412,2472,2573,2583,2479,"Maubourguet","petite
(< 30.000 hab.)",-0.177474775725517,-0.0306388229799337,-0.869376614678785,0.593451577963133
"768",2566,2541,2455,2404,2322,2149,2078,1967,1840,"Loué","petite
(< 30.000 hab.)",0.326885169967306,0.864488885524883,0.702212180558148,0.497018680422356
"769",6589,2417,2429,2367,2192,2114,2179,2035,1873,"Saint-Mars-la-Jaille","petite
(< 30.000 hab.)",39.6950290681772,-0.123737089920728,0.865602172353985,1.10331297386201
"770",2567,2520,2398,2303,2315,2125,1959,1874,1148,"Biesheim","petite
(< 30.000 hab.)",0.617867654724669,1.24832343851413,1.35653306388701,-0.0742162560978143
"771",3373,3581,3742,3869,4299,4634,4942,4931,4774,"Mortain","petite
(< 30.000 hab.)",-1.97488960770176,-1.09343152129887,-1.10636255281399,-1.4942431698998
